Title,Genre,Cast1,Cast2,Cast3,Synopsis,Runtime,MPA_Rating,Critic_Rating
Logan,Superhero,Hugh Jackman,Patrick Stewart,Dafne Keen,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","2'17""",R,8.1
Maharaja,Action,Vijay Sethupathi,Anurag Kashyap,Mamta Mohandas,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.","2'30""",NR,8.6
Oppenheimer,Drama,Cillian Murphy,Emily Blunt,Matt Damon,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,3',R,8.3
Dune: Part Two,Adventure,Timothee Chalamet,Zendaya,Rebecca Ferguson,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"2'46""",PG-13,8.5
The Shawshank Redemption,Drama,Tim Robbins,Morgan Freeman,Bob Gunton,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","2'22""",R,9.3
Alien,Horror,Sigourney Weaver,Tom Skerritt,John Hurt,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","1'57""",R,8.5
Gladiator,Action,Russell Crowe,Joaquin Phoenix,Connie Nielsen,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"2'35""",R,8.5
Interstellar,Adventure,Matthew McConaughey,Anne Hathaway,Jessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","2'49""",PG-13,8.7
Pulp Fiction,Drama,John Travolta,Uma Thurman,Samuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","2'34""",R,8.9
The Godfather,Tragedy,Marlon Brando,Al Pacino,James Caan,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","2'55""",R,9.2
The Dark Knight,Superhero,Christian Bale,Heath Ledger,Aaron Eckhart,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","2'32""",PG-13,9
Inside Out,Animation,Amy Poehler,Bill Hader,Lewis Black,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","1'35""",PG,8.1
Avengers: Endgame,Superhero,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","3'1""",PG-13,8.4
Top Gun: Maverick,Action,Tom Cruise,Jennifer Connelly,Miles Teller,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","2'10""",PG-13,8.2
Aliens,Horror,Sigourney Weaver,Michael Biehn,Carrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","2'17""",R,8.4
The Lord of the Rings: The Fellowship of the Ring,Fantasy,Elijah Wood,Ian McKellen,Orlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"2'58""",PG-13,8.9
Mad Max: Fury Road,Action,Tom Hardy,Charlize Theron,Nicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2',R,8.1
Inception,Psychological,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","2'28""",PG-13,8.8
The Wolf of Wall Street,Satire,Leonardo DiCaprio,Jonah Hill,Margot Robbie,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",3',R,8.2
Fight Club,Drama,Brad Pitt,Edward Norton,Meat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"2'19""",R,8.8
The Sixth Sense,Thriller,Bruce Willis,Haley Joel Osment,Toni Collette,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","1'47""",PG-13,8.2
Jaws,Adventure,Roy Scheider,Robert Shaw,Richard Dreyfuss,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","2'4""",PG,8.1
The Silence of the Lambs,Psychological,Jodie Foster,Anthony Hopkins,Scott Glenn,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","1'58""",R,8.6
Spider-Man: No Way Home,Superhero,Tom Holland,Zendaya,Benedict Cumberbatch,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","2'28""",PG-13,8.2
Se7en,Thriller,Morgan Freeman,Brad Pitt,Kevin Spacey,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","2'7""",R,8.6
Joker,Psychological,Joaquin Phoenix,Robert De Niro,Zazie Beetz,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.","2'2""",R,8.4
Parasite,Psychological,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"2'12""",R,8.5
Back to the Future,Sci-Fi,Michael J. Fox,Christopher Lloyd,Lea Thompson,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","1'56""",PG,8.5
Requiem for a Dream,Tragedy,Ellen Burstyn,Jared Leto,Jennifer Connelly,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,"1'42""",NC-17,8.3
Inglourious Basterds,Drama,Brad Pitt,Diane Kruger,Eli Roth,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","2'33""",R,8.4
Forrest Gump,Drama,Tom Hanks,Robin Wright,Gary Sinise,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","2'22""",PG-13,8.8
Heat,Drama,Al Pacino,Robert De Niro,Val Kilmer,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"2'50""",R,8.3
Avengers: Infinity War,Superhero,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"2'29""",PG-13,8.4
The Help,Period,Viola Davis,Emma Stone,Octavia Spencer,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","2'26""",PG-13,8.1
Prisoners,Mystery,Hugh Jackman,Jake Gyllenhaal,Viola Davis,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","2'33""",R,8.2
Gone Girl,Erotic,Ben Affleck,Rosamund Pike,Neil Patrick Harris,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","2'29""",R,8.1
The Matrix,Sci-Fi,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","2'16""",R,8.7
The Prestige,Period,Christian Bale,Hugh Jackman,Scarlett Johansson,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","2'10""",PG-13,8.5
Jurassic Park,Adventure,Sam Neill,Laura Dern,Jeff Goldblum,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.","2'7""",PG-13,8.2
Spider-Man: Across the Spider-Verse,Superhero,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","2'20""",PG,8.6
Shutter Island,Psychological,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","2'18""",R,8.2
The Shining,Horror,Jack Nicholson,Shelley Duvall,Danny Lloyd,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","2'26""",R,8.4
12th Fail,Biography,Vikrant Massey,Medha Shankr,Anant Joshi,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"2'27""",NR,8.9
Schindler's List,Historical,Liam Neeson,Ralph Fiennes,Ben Kingsley,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","3'15""",R,9
Goodfellas,Biography,Robert De Niro,Ray Liotta,Joe Pesci,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","2'25""",R,8.7
American Beauty,Tragedy,Kevin Spacey,Annette Bening,Thora Birch,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"2'2""",R,8.3
The Truman Show,Comedy,Jim Carrey,Ed Harris,Laura Linney,"An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.","1'43""",PG,8.2
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy,Johnny Depp,Geoffrey Rush,Orlando Bloom,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.","2'23""",PG-13,8.1
Django Unchained,Period,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","2'45""",R,8.5
The Departed,Crime,Leonardo DiCaprio,Matt Damon,Jack Nicholson,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"2'31""",R,8.5
The Lord of the Rings: The Return of the King,Fantasy,Elijah Wood,Viggo Mortensen,Ian McKellen,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"3'21""",PG-13,9
Good Will Hunting,Coming-of-Age,Robin Williams,Matt Damon,Ben Affleck,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.","2'6""",R,8.3
Terminator 2: Judgment Day,Sci-Fi,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","2'17""",R,8.6
No Country for Old Men,Western,Tommy Lee Jones,Javier Bardem,Josh Brolin,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","2'2""",R,8.2
Leon: The Professional,Crime,Jean Reno,Gary Oldman,Natalie Portman,"12-year-old Mathilda is reluctantly taken in by L�on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot�g�e and learns the assassin's trade.","1'50""",R,8.5
Oldboy,Action,Choi Min-sik,Yoo Ji-tae,Kang hye-jeong,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",2',R,8.3
Room,Psychological,Brie Larson,Jacob Tremblay,Sean Bridgers,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","1'58""",R,8.1
Green Book,Period,Viggo Mortensen,Mahershala Ali,Linda Cardellini,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"2'10""",PG-13,8.2
The Dark Knight Rises,Superhero,Christian Bale,Tom Hardy,Anne Hathaway,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","2'44""",PG-13,8.4
The Green Mile,Period,Tom Hanks,Michael Clarke Duncan,David Morse,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","3'9""",R,8.6
"The Good, the Bad and the Ugly",Adventure,Clint Eastwood ,Eli Wallach,Lee Van Cleef,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"2'58""",R,8.8
Stand by Me,Coming-of-Age,Wil Wheaton,River Pheonix,Corey Feldman,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"1'29""",R,8.1
Whiplash,Drama,Miles Teller,J.K. Simmons,Melissa Benoist,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"1'46""",R,8.5
City of God,Coming-of-Age,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","2'10""",R,8.6
12 Angry Men,Drama,Henry Fonda,Lee J. Cobb,Martin Balsam,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"1'36""",NR,9
Star Wars: Episode IV - A New Hope,Sci-Fi,Mark Hamill,Harrison Ford,Carrie Fisher,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","2'1""",PG,8.6
Eternal Sunshine of the Spotless Mind,Romance,Jim Carrey,Kate Winslet,Tom Wilkinson,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","1'48""",R,8.3
Incendies,Mystery,Lubna Azabal,Melissa Desormeaux-Poulin,Maxim Gaudette,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"2'11""",R,8.3
1917,Period,Dean-Charles Chapman,George MacKay,Daniel Mays,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","1'59""",R,8.2
Batman Begins,Superhero,Christian Bale,Michael Caine,Ken Watanabe,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","2'20""",PG-13,8.2
Saving Private Ryan,Epic,Tom Hanks,Matt Damon,Tom Sizemore,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","2'49""",R,8.6
A Clockwork Orange,Crime,Malcolm McDowell,Patrick Magee,Michael Bates,Alex DeLarge and his droogs barbarize a decaying near-future.,"2'16""",R,8.3
Taxi Driver,Crime,Robert De Niro,Jodie Foster,Cybill Shepherd,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","1'54""",R,8.2
Full Metal Jacket,War,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"1'56""",R,8.2
The Lion King,Coming-of-Age,Matthew Broderick,Jeremy Irons,James Earl Jones,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","1'28""",G,8.5
Memento,Mystery,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.","1'53""",R,8.4
Spirited Away,Coming-of-Age,Daveigh Chase,Suzanne Pleshette,Miyu Irino,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","2'5""",PG,8.6
American History X,Tragedy,Edward Norton,Edward Furlong,Beverly D'Angelo,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","1'59""",R,8.5
The Usual Suspects,Mystery,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"1'46""",R,8.5
The Terminator,Sci-Fi,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,"The Terminator, a cyborg assassin from the future, attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction.","1'47""",R,8.1
Apocalypse Now,Adventure,Martin Sheen,Marlon Brando,Robert Duvall,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"2'27""",R,8.4
The Thing,Horror,Kurt Russell,Wilford Brimley,Keith David,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"1'49""",R,8.2
The Big Lebowski,Satire,Jeff Bridges,John Goodman,Julianne Moore,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","1'57""",R,8.1
The Handmaiden,Erotic,Sarah Waters,Shung Seo-kyung,Park Chan-wook,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.","2'25""",NR,8.1
Ratatouille,Adventure,Brad Garrett,Lou Romano,Patton Oswalt,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"1'51""",G,8.1
Casino,Drama,Robert De Niro,Sharon Stone,Joe Pesci,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","2'58""",R,8.2
The Godfather Part II,Crime,Al Pacino,Robert De Niro,Robert Duvall,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","3'22""",R,9
Blade Runner,Sci-Fi,Harrison Ford,Rutger Hauer,Sean Young,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"1'57""",R,8.1
The Lord of the Rings: The Two Towers,Fantasy,Elijah Wood,Ian McKellen,Viggo Mortensen,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","2'59""",PG-13,8.8
Come and See,Period,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevivius,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","2'22""",NR,8.4
One Flew Over the Cuckoo's Nest,Drama,Jack Nicholson,Louise Fletcher,Michael Berryman,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","2'13""",R,8.7
Scarface,Crime,Al Pacino,Michelle Pfeiffer,Steven Bauer,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","2'50""",R,8.3
Braveheart,War,Mel Gibson,Sophie Marceau,Patrick McGoohan,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"2'58""",R,8.3
Harry Potter and the Deathly Hallows: Part 2,Fantasy,Daniel Radcliffe,Emma Watson,Rupert Grint,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","2'10""",PG-13,8.1
Snatch,Caper,Jason Statham,Brad Pitt,Stephen Graham,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","1'42""",R,8.2
2001: A Space Odyssey,Sci-Fi,Keir Dullea,Gary Lockwood,William Sylvester,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","2'29""",G,8.3
Catch Me If You Can,Coming-of-Age,Leonardo DiCaprio,Tom Hanks,Christopher Walken,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","2'21""",PG-13,8.1
Reservoir Dogs,Heist,Harvey Keitel,Tim Roth,Michael Madsen,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","1'39""",R,8.3
Hacksaw Ridge,Biography,Andrew Garfield,Sam Worthington,Luke Bracey,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","2'19""",R,8.1
Ford v Ferrari,Drama,Matt Damon,Christian Bale,Jon Bernthal,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"2'32""",PG-13,8.1
